# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.28000000e-02
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
356             	-1.43240888e+07	-2.96595265e+08	-1.15311393e+06	-1.49006458e+07	1.37475319e+07
358             	2.29208746e+07	2.62601370e+08	1.13677905e+07	2.86047699e+07	-1.72369794e+07
360             	-2.20973766e+07	-3.48088778e+08	-4.96031525e+06	-2.45775342e+07	1.96172190e+07
362             	1.77906022e+07	3.46598824e+08	1.66637956e+07	2.61225000e+07	-9.45870434e+06
364             	-1.45262943e+07	-4.26080876e+08	-1.36992523e+07	-2.13759204e+07	7.67666811e+06
366             	2.51357341e+07	4.03757981e+08	1.18399785e+07	3.10557233e+07	-1.92157448e+07
368             	-4.49779283e+07	-5.00666272e+08	-2.08889360e+07	-5.54223963e+07	3.45334603e+07
370             	4.68493441e+07	5.50517799e+08	1.06508133e+07	5.21747507e+07	-4.15239374e+07
372             	-4.62474556e+07	-6.40516058e+08	-2.10400280e+07	-5.67674696e+07	3.57274416e+07
374             	4.71491710e+07	6.65507310e+08	-2.40476905e+07	3.51253258e+07	-5.91730163e+07
376             	-6.61926549e+07	-7.69720350e+08	-3.38954806e+06	-6.78874290e+07	6.44978809e+07
378             	6.29403752e+07	7.10943926e+08	-1.11570911e+07	5.73618296e+07	-6.85189207e+07
380             	-6.14826381e+07	-7.84600513e+08	-4.89594512e+06	-6.39306106e+07	5.90346655e+07
382             	6.62830384e+07	7.02169951e+08	7.74947331e+07	1.05030405e+08	-2.75356718e+07
384             	-5.53756722e+07	-8.29919705e+08	-3.46926428e+07	-7.27219936e+07	3.80293508e+07
386             	4.05026482e+07	7.15310186e+08	7.15030075e+07	7.62541520e+07	-4.75114442e+06
388             	-3.97817911e+07	-8.56799717e+08	-7.01170414e+07	-7.48403118e+07	4.72327041e+06
390             	1.41877314e+07	7.35437076e+08	3.05533579e+07	2.94644103e+07	1.08894759e+06
392             	-1.52361396e+07	-9.36881771e+08	7.19269871e+06	-1.16397902e+07	1.88324889e+07
394             	1.20211133e+07	9.34741037e+08	-1.67571003e+07	3.64256321e+06	-2.03996635e+07
396             	-4.32169479e+07	-1.03228455e+09	1.67554517e+07	-3.48392220e+07	5.15946737e+07
398             	4.93328497e+07	1.11992355e+09	-7.92465419e+07	9.70957874e+06	-8.89561206e+07
400             	-6.44353698e+07	-1.36191089e+09	6.93256548e+07	-2.97725424e+07	9.90981972e+07
402             	4.76121457e+07	1.38171919e+09	-9.35274013e+07	8.48444997e+05	-9.43758463e+07
404             	-4.86808142e+07	-1.44203042e+09	6.00324162e+07	-1.86646061e+07	7.86970223e+07
406             	1.30562552e+08	1.33042401e+09	9.82868785e+07	1.79705991e+08	-8.14191129e+07
408             	-1.20387406e+08	-1.67017568e+09	-6.80772271e+07	-1.54426020e+08	8.63487928e+07
410             	6.02689907e+07	1.65752657e+09	1.97137052e+07	7.01258433e+07	-5.04121381e+07
412             	-1.07621021e+08	-1.94652199e+09	-3.88597857e+07	-1.27050914e+08	8.81911282e+07
414             	7.46007947e+07	1.77602428e+09	-7.56552139e+06	7.08180340e+07	-7.83835554e+07
416             	-4.24895974e+07	-2.17249935e+09	2.53215366e+07	-2.98288291e+07	5.51503657e+07
418             	3.40554944e+06	2.03409013e+09	-8.87172939e+07	-4.09530975e+07	-4.77641964e+07
